weapon_id,name,affinity,weapon_type_id,weapon_type_name,weapon_type_keys,base_physical,base_magic,base_fire,base_lightning,base_holy,str_scaling,dex_scaling,int_scaling,fai_scaling,arc_scaling,req_str,req_dex,req_int,req_fai,req_arc,reinforce_type,attack_element_correct_id,curve_id_str,curve_id_dex,curve_id_int,curve_id_fai,curve_id_arc,is_somber
1000000,Dagger,Standard,1,Dagger,Dagger,74,0,0,0,0,0.35,0.65,0,0,0,5,9,0,0,0,0,10000,0,0,0,0,0,0
1000100,Dagger,Heavy,1,Dagger,Dagger,71,0,0,0,0,0.55,0,0,0,0,5,9,0,0,0,100,10000,1,1,0,0,0,0
1000200,Dagger,Keen,1,Dagger,Dagger,71,0,0,0,0,0.2,0.7,0,0,0,5,9,0,0,0,5000,10000,2,2,0,0,0,0
1000300,Dagger,Quality,1,Dagger,Dagger,71,0,0,0,0,0.63,0.63,0,0,0,5,9,0,0,0,300,10000,8,8,0,0,0,0
1000400,Dagger,Fire,1,Dagger,Dagger,71,0,71,0,0,0.47,0.1,0,0,0,5,9,0,0,0,400,10005,4,0,0,0,0,0
1000500,Dagger,Flame Art,1,Dagger,Dagger,71,0,71,0,0,0.1,0.19,0,0.55,0,5,9,0,0,0,500,10000,0,0,0,4,0,0
1000600,Dagger,Lightning,1,Dagger,Dagger,71,0,0,71,0,0.1,0.47,0,0,0,5,9,0,0,0,600,10000,0,4,0,0,0,0
1000700,Dagger,Sacred,1,Dagger,Dagger,71,0,0,0,71,0.1,0.19,0,0.55,0,5,9,0,0,0,700,10000,0,0,0,4,0,0
1000800,Dagger,Magic,1,Dagger,Dagger,71,71,0,0,0,0.1,0.19,0.56,0,0,5,9,0,0,0,800,10000,0,0,4,0,0,0
1000900,Dagger,Cold,1,Dagger,Dagger,71,60,0,0,0,0.31,0.58,0.52,0,0,5,9,0,0,0,900,10000,0,0,0,0,0,0
1001000,Dagger,Poison,1,Dagger,Dagger,71,0,0,0,0,0.33,0.61,0,0,0.3,5,9,0,0,0,1000,10013,0,0,0,0,0,0
1001100,Dagger,Blood,1,Dagger,Dagger,71,0,0,0,0,0.33,0.61,0,0,0.3,5,9,0,0,0,1100,10013,0,0,0,0,0,0
1001200,Dagger,Occult,1,Dagger,Dagger,71,0,0,0,0,0.14,0.26,0,0,0.85,5,9,0,0,0,1200,10013,7,7,0,0,7,0
1010000,Black Knife,Standard,1,Dagger,Dagger,66,0,0,0,65,0.1,0.55,0,0.35,0,8,12,0,18,0,2200,10000,0,0,0,4,0,1
1020000,Parrying Dagger,Standard,1,Dagger,Dagger,75,0,0,0,0,0.16,0.76,0,0,0,5,14,0,0,0,0,10000,0,0,0,0,0,0
1020100,Parrying Dagger,Heavy,1,Dagger,Dagger,72,0,0,0,0,0.55,0,0,0,0,5,14,0,0,0,100,10000,1,1,0,0,0,0
1020200,Parrying Dagger,Keen,1,Dagger,Dagger,72,0,0,0,0,0.09,0.74,0,0,0,5,14,0,0,0,5000,10000,2,2,0,0,0,0
1020300,Parrying Dagger,Quality,1,Dagger,Dagger,72,0,0,0,0,0.64,0.64,0,0,0,5,14,0,0,0,300,10000,8,8,0,0,0,0
1020400,Parrying Dagger,Fire,1,Dagger,Dagger,72,0,72,0,0,0.46,0.09,0,0,0,5,14,0,0,0,400,10005,4,0,0,0,0,0
1020500,Parrying Dagger,Flame Art,1,Dagger,Dagger,72,0,72,0,0,0.04,0.22,0,0.5,0,5,14,0,0,0,500,10000,0,0,0,4,0,0
1020600,Parrying Dagger,Lightning,1,Dagger,Dagger,72,0,0,72,0,0.09,0.46,0,0,0,5,14,0,0,0,600,10000,0,4,0,0,0,0
1020700,Parrying Dagger,Sacred,1,Dagger,Dagger,72,0,0,0,72,0.04,0.22,0,0.5,0,5,14,0,0,0,700,10000,0,0,0,4,0,0
1020800,Parrying Dagger,Magic,1,Dagger,Dagger,72,72,0,0,0,0.04,0.22,0.55,0,0,5,14,0,0,0,800,10000,0,0,4,0,0,0
1020900,Parrying Dagger,Cold,1,Dagger,Dagger,72,61,0,0,0,0.14,0.68,0.41,0,0,5,14,0,0,0,900,10000,0,0,0,0,0,0
1021000,Parrying Dagger,Poison,1,Dagger,Dagger,72,0,0,0,0,0.15,0.72,0,0,0.3,5,14,0,0,0,1000,10013,0,0,0,0,0,0
1021100,Parrying Dagger,Blood,1,Dagger,Dagger,72,0,0,0,0,0.15,0.72,0,0,0.3,5,14,0,0,0,1100,10013,0,0,0,0,0,0
1021200,Parrying Dagger,Occult,1,Dagger,Dagger,72,0,0,0,0,0.06,0.3,0,0,0.78,5,14,0,0,0,1200,10013,7,7,0,0,7,0
1030000,Misericorde,Standard,1,Dagger,Dagger,92,0,0,0,0,0.15,0.5,0,0,0,7,12,0,0,0,0,10000,0,0,0,0,0,0
1030100,Misericorde,Heavy,1,Dagger,Dagger,88,0,0,0,0,0.38,0,0,0,0,7,12,0,0,0,100,10000,1,1,0,0,0,0
1030200,Misericorde,Keen,1,Dagger,Dagger,88,0,0,0,0,0.13,0.48,0,0,0,7,12,0,0,0,5000,10000,2,2,0,0,0,0
1030300,Misericorde,Quality,1,Dagger,Dagger,88,0,0,0,0,0.45,0.45,0,0,0,7,12,0,0,0,300,10000,8,8,0,0,0,0
1030400,Misericorde,Fire,1,Dagger,Dagger,88,0,88,0,0,0.29,0.06,0,0,0,7,12,0,0,0,400,10005,4,0,0,0,0,0
1030500,Misericorde,Flame Art,1,Dagger,Dagger,88,0,88,0,0,0.04,0.15,0,0.26,0,7,12,0,0,0,500,10000,0,0,0,4,0,0
1030600,Misericorde,Lightning,1,Dagger,Dagger,88,0,0,88,0,0.06,0.29,0,0,0,7,12,0,0,0,600,10000,0,4,0,0,0,0
1030700,Misericorde,Sacred,1,Dagger,Dagger,88,0,0,0,88,0.04,0.15,0,0.26,0,7,12,0,0,0,700,10000,0,0,0,4,0,0
1030800,Misericorde,Magic,1,Dagger,Dagger,88,88,0,0,0,0.04,0.15,0.29,0,0,7,12,0,0,0,800,10000,0,0,4,0,0,0
1030900,Misericorde,Cold,1,Dagger,Dagger,88,75,0,0,0,0.13,0.45,0.22,0,0,7,12,0,0,0,900,10000,0,0,0,0,0,0
1031000,Misericorde,Poison,1,Dagger,Dagger,88,0,0,0,0,0.14,0.47,0,0,0.3,7,12,0,0,0,1000,10013,0,0,0,0,0,0
